Name,Location,Category,Bio URL,Since Date,Description,Image URL,Date Created,Date Updated,Tags
Zainab Maleki,"Perth, Australia",AWS Data Hero,https://aws.amazon.com/developer/community/heroes/zainab-maleki/?did=dh_card&trk=dh_card,Hero since 2021,"<p>Zainab’s leadership skills have shone since arriving in Australia. Her volunteer experience at the…</p><p><a href=""https://aws.amazon.com/developer/community/heroes/zainab-maleki/?did=dh_card-body&trk=dh_card-body"" target=""_blank"" rel=""noopener"">Learn more »</a></p>",https://d1.awsstatic.com/Developer%20Marketing/developer-center/zainab-maleki.28bb5d0e01c21d47f4aa7dc1da675ca6b1a67a9b.png,2021-03-11T20:34:34+0000,2024-11-06T18:12:29+0000,Asia Pacific|Conference Speaker|2021|AWS Data Hero|Blogger|Open Source Contributor
Yusuke Kuoka,"Tokyo, Japan",AWS Container Hero,https://aws.amazon.com/developer/community/heroes/yusuke-kuoka/?did=dh_card&trk=dh_card,Hero since 2018,"<p>Yusuke is a Software Development Engineer, leading the design and development of a highly...</p><p><a href=""https://aws.amazon.com/developer/community/heroes/yusuke-kuoka/?did=dh_card-body&trk=dh_card-body"" target=""_blank"" rel=""noopener"">Learn more »</a></p>",https://d1.awsstatic.com/Developer%20Marketing/developer-center/yasukek-headshotcircle-100px.40579b937cfad9935f9f862611ae62f0f314f879.png,2019-02-19T19:51:30+0000,2024-11-06T18:12:29+0000,Asia Pacific|AWS Container Hero|Blogger|2018|Open Source Contributor
Yasunori Kirimoto,"Sapporo, Japan",AWS DevTools Hero,https://aws.amazon.com/developer/community/heroes/yasunori-kirimoto/?did=dh_card&trk=dh_card,Hero since 2022,"<p>Yasunori Kirimoto is the Co-Founder and COO of MIERUNE Inc., a geospatial solution company ...</p>

<p><a href=""https://aws.amazon.com/developer/community/heroes/yasunori-kirimoto/?did=dh_card-body&amp;trk=dh_card-body"" rel=""noopener"" target=""_blank"">Learn more &raquo;</a></p>
",https://d1.awsstatic.com/Developer%20Marketing/developer-center/yasunori-kirimoto.916eb8082858390be71e940466806b8b250e7ae5.png,2022-06-02T18:45:32+0000,2024-11-06T18:12:29+0000,Open Source Contributor|AWS DevTools Hero|2022|Blogger|Asia Pacific|Conference Speaker|Meetup Organizer
Yan So,"Seoul, Korea",AWS Machine Learning Hero,https://aws.amazon.com/developer/community/heroes/yan-so/?did=dh_card&trk=dh_card,Hero since 2020,"<p>Yan So is a senior data scientist with experience in applying big data machine learning to solve...</p><p><a href=""https://aws.amazon.com/developer/community/heroes/yan-so/?did=dh_card-body&trk=dh_card-body"" target=""_blank"" rel=""noopener"">Learn more »</a></p>",https://d1.awsstatic.com/Developer%20Marketing/developer-center/yan-so.776cda83d6eb86b2a5fe45582d553c0ea004d2c3.png,2020-02-27T18:43:32+0000,2024-11-06T18:12:29+0000,Asia Pacific|Trainer / Educator|2020|AWS Machine Learning Hero|Conference Speaker
Yan Cui,"London, United Kingdom",AWS Serverless Hero,https://aws.amazon.com/developer/community/heroes/yan-cui/?did=dh_card&trk=dh_card,Hero since 2018,"<p>Yan is an experienced engineer who has worked with AWS since 2009. He's been an architect...</p><p><a href=""https://aws.amazon.com/developer/community/heroes/yan-cui/?did=dh_card-body&trk=dh_card-body"" target=""_blank"" rel=""noopener"">Learn more »</a></p>",https://d1.awsstatic.com/Developer%20Marketing/developer-center/yanc-headshotcircle-100px.d664c7a0b9fe2ad4365ab87854365ada2fbdba52.png,2019-02-19T19:51:34+0000,2024-11-06T18:12:29+0000,"Trainer / Educator|Europe, Middle East, & Africa|AWS Serverless Hero|Conference Speaker|2018|Blogger|Technical Author|Open Source Contributor"
Wojciech Dąbrowski,"Katowice, Poland",AWS Community Hero,https://aws.amazon.com/developer/community/heroes/wojciech-dabrowski/?did=dh_card&trk=dh_card,Hero since 2023,"<p>Wojciech is AWS User Group Silesia leader since 2019 ...</p>

<p><a href=""https://aws.amazon.com/developer/community/heroes/wojciech-dabrowski/?did=dh_card-body&amp;trk=dh_card-body"" rel=""noopener"" target=""_blank"">Learn more &raquo;</a></p>
",https://d1.awsstatic.com/getting-started-guides/new-heros-nov-2022/2023/june-2023/headshot_wojciech_d%c4%85browski-modified.8a00e6612cc640bf12e1fb4623e6304ddafd4b61.png,2023-06-06T20:44:11+0000,2024-11-06T18:12:29+0000,"Trainer / Educator|2023|Europe, Middle East, & Africa|emea|Poland|AWS Community Hero|Conference Speaker|Meetup Organizer"
Wendy Wong,"Sydney, Australia",AWS Data Hero,https://aws.amazon.com/developer/community/heroes/wendy-wong/?did=dh_card-body&trk=dh_card-body,Hero since 2023,"<p>Wendy is a Business Performance Analyst building data pipelines with ...&nbsp;</p>

<p><a href=""https://aws.amazon.com/developer/community/heroes/wendy-wong/?did=dh_card-body&amp;trk=dh_card-body"" rel=""noopener"" target=""_blank"">Learn more &raquo;</a></p>
",https://d1.awsstatic.com/getting-started-guides/new-heroes-2023/oct-2023/WendyWongImg-100.441c9ba1eac3d66caa0077f05d88b26b9d304138.png,2023-03-02T22:29:30+0000,2024-11-06T18:12:28+0000,Asia Pacific|2023|AWS Data Hero
Vlad Ionescu,"Bucharest, Romania",AWS Container Hero,https://aws.amazon.com/developer/community/heroes/vlad-ionescu/?did=dh_card&trk=dh_card,Hero since 2019,"<p>Vlad is a DevOps Consultant helping companies deliver more reliable software faster and safer...</p><p><a href=""https://aws.amazon.com/developer/community/heroes/vlad-ionescu/?did=dh_card-body&trk=dh_card-body"" target=""_blank"" rel=""noopener"">Learn more »</a></p>",https://d1.awsstatic.com/Developer%20Marketing/developer-center/vlad-ionescu-circular-headshot.16833e2334f7d7786f7888333f3a2ebb3caee733.png,2019-11-06T17:26:41+0000,2024-11-06T18:12:28+0000,"Europe, Middle East, & Africa|AWS Container Hero|Open Source Contributor|2019|Technical Author"
Vivek Raja P S,"Madurai, India",AWS Machine Learning Hero,https://aws.amazon.com/developer/community/heroes/vivek-raja/?did=dh_card&trk=dh_card,Hero since 2021,"<p>Vivek Raja works as Data Scientist at NexStem | CortexBCI Inc. where he develops Machine Learning…</p><p><a href=""https://aws.amazon.com/developer/community/heroes/vivek-raja/?did=dh_card-body&trk=dh_card-body"" target=""_blank"" rel=""noopener"">Learn more »</a></p>",https://d1.awsstatic.com/getting-started-guides/New-Heroes-2024/may-2024/Vivek_Headshot_100.84c6b28cc9ac37216cb726d170fbe646db250595.png,2021-11-12T21:04:47+0000,2024-11-06T18:12:28+0000,Technical Author|Blogger|AWS Machine Learning Hero|Conference Speaker|2021|Asia Pacific|Trainer / Educator|Meetup Organizer
Vit Niennattrakul,"Bangkok, Thailand",AWS Community Hero,https://aws.amazon.com/developer/community/heroes/vit-niennattrakul/?did=dh_card&trk=dh_card,Hero since 2016,"<p>Vit Niennattrakul finished his Ph.D. in time series data mining and is also interested in machine learning, artificial intelligence,...</p>

<p><a href=""https://aws.amazon.com/developer/community/heroes/vit-niennattrakul/?did=dh_card-body&amp;trk=dh_card-body"" rel=""noopener"" target=""_blank"">Learn more &raquo;</a></p>
",https://d1.awsstatic.com/Developer%20Marketing/developer-center/vitn-headshotcircle-100px.cc3ebe0ed2a86f91a0e0217b58810470adcde561.png,2019-02-19T19:51:37+0000,2024-11-06T18:12:28+0000,Trainer / Educator|Asia Pacific|AWS Community Hero|Conference Speaker|2016|Meetup Organizer|Blogger|Technical Author|Open Source Contributor
Zainab Maleki,"Perth, Australia",AWS Data Hero,https://aws.amazon.com/developer/community/heroes/zainab-maleki/?did=dh_card&trk=dh_card,Hero since 2021,"<p>Zainab’s leadership skills have shone since arriving in Australia. Her volunteer experience at the…</p><p><a href=""https://aws.amazon.com/developer/community/heroes/zainab-maleki/?did=dh_card-body&trk=dh_card-body"" target=""_blank"" rel=""noopener"">Learn more »</a></p>",https://d1.awsstatic.com/Developer%20Marketing/developer-center/zainab-maleki.28bb5d0e01c21d47f4aa7dc1da675ca6b1a67a9b.png,2021-03-11T20:34:34+0000,2024-11-06T18:12:29+0000,Asia Pacific|Conference Speaker|2021|AWS Data Hero|Blogger|Open Source Contributor
Yusuke Kuoka,"Tokyo, Japan",AWS Container Hero,https://aws.amazon.com/developer/community/heroes/yusuke-kuoka/?did=dh_card&trk=dh_card,Hero since 2018,"<p>Yusuke is a Software Development Engineer, leading the design and development of a highly...</p><p><a href=""https://aws.amazon.com/developer/community/heroes/yusuke-kuoka/?did=dh_card-body&trk=dh_card-body"" target=""_blank"" rel=""noopener"">Learn more »</a></p>",https://d1.awsstatic.com/Developer%20Marketing/developer-center/yasukek-headshotcircle-100px.40579b937cfad9935f9f862611ae62f0f314f879.png,2019-02-19T19:51:30+0000,2024-11-06T18:12:29+0000,Asia Pacific|AWS Container Hero|Blogger|2018|Open Source Contributor
Yasunori Kirimoto,"Sapporo, Japan",AWS DevTools Hero,https://aws.amazon.com/developer/community/heroes/yasunori-kirimoto/?did=dh_card&trk=dh_card,Hero since 2022,"<p>Yasunori Kirimoto is the Co-Founder and COO of MIERUNE Inc., a geospatial solution company ...</p>

<p><a href=""https://aws.amazon.com/developer/community/heroes/yasunori-kirimoto/?did=dh_card-body&amp;trk=dh_card-body"" rel=""noopener"" target=""_blank"">Learn more &raquo;</a></p>
",https://d1.awsstatic.com/Developer%20Marketing/developer-center/yasunori-kirimoto.916eb8082858390be71e940466806b8b250e7ae5.png,2022-06-02T18:45:32+0000,2024-11-06T18:12:29+0000,Open Source Contributor|AWS DevTools Hero|2022|Blogger|Asia Pacific|Conference Speaker|Meetup Organizer
Yan So,"Seoul, Korea",AWS Machine Learning Hero,https://aws.amazon.com/developer/community/heroes/yan-so/?did=dh_card&trk=dh_card,Hero since 2020,"<p>Yan So is a senior data scientist with experience in applying big data machine learning to solve...</p><p><a href=""https://aws.amazon.com/developer/community/heroes/yan-so/?did=dh_card-body&trk=dh_card-body"" target=""_blank"" rel=""noopener"">Learn more »</a></p>",https://d1.awsstatic.com/Developer%20Marketing/developer-center/yan-so.776cda83d6eb86b2a5fe45582d553c0ea004d2c3.png,2020-02-27T18:43:32+0000,2024-11-06T18:12:29+0000,Asia Pacific|Trainer / Educator|2020|AWS Machine Learning Hero|Conference Speaker
Yan Cui,"London, United Kingdom",AWS Serverless Hero,https://aws.amazon.com/developer/community/heroes/yan-cui/?did=dh_card&trk=dh_card,Hero since 2018,"<p>Yan is an experienced engineer who has worked with AWS since 2009. He's been an architect...</p><p><a href=""https://aws.amazon.com/developer/community/heroes/yan-cui/?did=dh_card-body&trk=dh_card-body"" target=""_blank"" rel=""noopener"">Learn more »</a></p>",https://d1.awsstatic.com/Developer%20Marketing/developer-center/yanc-headshotcircle-100px.d664c7a0b9fe2ad4365ab87854365ada2fbdba52.png,2019-02-19T19:51:34+0000,2024-11-06T18:12:29+0000,"Trainer / Educator|Europe, Middle East, & Africa|AWS Serverless Hero|Conference Speaker|2018|Blogger|Technical Author|Open Source Contributor"
Wojciech Dąbrowski,"Katowice, Poland",AWS Community Hero,https://aws.amazon.com/developer/community/heroes/wojciech-dabrowski/?did=dh_card&trk=dh_card,Hero since 2023,"<p>Wojciech is AWS User Group Silesia leader since 2019 ...</p>

<p><a href=""https://aws.amazon.com/developer/community/heroes/wojciech-dabrowski/?did=dh_card-body&amp;trk=dh_card-body"" rel=""noopener"" target=""_blank"">Learn more &raquo;</a></p>
",https://d1.awsstatic.com/getting-started-guides/new-heros-nov-2022/2023/june-2023/headshot_wojciech_d%c4%85browski-modified.8a00e6612cc640bf12e1fb4623e6304ddafd4b61.png,2023-06-06T20:44:11+0000,2024-11-06T18:12:29+0000,"Trainer / Educator|2023|Europe, Middle East, & Africa|emea|Poland|AWS Community Hero|Conference Speaker|Meetup Organizer"
Wendy Wong,"Sydney, Australia",AWS Data Hero,https://aws.amazon.com/developer/community/heroes/wendy-wong/?did=dh_card-body&trk=dh_card-body,Hero since 2023,"<p>Wendy is a Business Performance Analyst building data pipelines with ...&nbsp;</p>

<p><a href=""https://aws.amazon.com/developer/community/heroes/wendy-wong/?did=dh_card-body&amp;trk=dh_card-body"" rel=""noopener"" target=""_blank"">Learn more &raquo;</a></p>
",https://d1.awsstatic.com/getting-started-guides/new-heroes-2023/oct-2023/WendyWongImg-100.441c9ba1eac3d66caa0077f05d88b26b9d304138.png,2023-03-02T22:29:30+0000,2024-11-06T18:12:28+0000,Asia Pacific|2023|AWS Data Hero
Vlad Ionescu,"Bucharest, Romania",AWS Container Hero,https://aws.amazon.com/developer/community/heroes/vlad-ionescu/?did=dh_card&trk=dh_card,Hero since 2019,"<p>Vlad is a DevOps Consultant helping companies deliver more reliable software faster and safer...</p><p><a href=""https://aws.amazon.com/developer/community/heroes/vlad-ionescu/?did=dh_card-body&trk=dh_card-body"" target=""_blank"" rel=""noopener"">Learn more »</a></p>",https://d1.awsstatic.com/Developer%20Marketing/developer-center/vlad-ionescu-circular-headshot.16833e2334f7d7786f7888333f3a2ebb3caee733.png,2019-11-06T17:26:41+0000,2024-11-06T18:12:28+0000,"Europe, Middle East, & Africa|AWS Container Hero|Open Source Contributor|2019|Technical Author"
Vivek Raja P S,"Madurai, India",AWS Machine Learning Hero,https://aws.amazon.com/developer/community/heroes/vivek-raja/?did=dh_card&trk=dh_card,Hero since 2021,"<p>Vivek Raja works as Data Scientist at NexStem | CortexBCI Inc. where he develops Machine Learning…</p><p><a href=""https://aws.amazon.com/developer/community/heroes/vivek-raja/?did=dh_card-body&trk=dh_card-body"" target=""_blank"" rel=""noopener"">Learn more »</a></p>",https://d1.awsstatic.com/getting-started-guides/New-Heroes-2024/may-2024/Vivek_Headshot_100.84c6b28cc9ac37216cb726d170fbe646db250595.png,2021-11-12T21:04:47+0000,2024-11-06T18:12:28+0000,Technical Author|Blogger|AWS Machine Learning Hero|Conference Speaker|2021|Asia Pacific|Trainer / Educator|Meetup Organizer
Vit Niennattrakul,"Bangkok, Thailand",AWS Community Hero,https://aws.amazon.com/developer/community/heroes/vit-niennattrakul/?did=dh_card&trk=dh_card,Hero since 2016,"<p>Vit Niennattrakul finished his Ph.D. in time series data mining and is also interested in machine learning, artificial intelligence,...</p>

<p><a href=""https://aws.amazon.com/developer/community/heroes/vit-niennattrakul/?did=dh_card-body&amp;trk=dh_card-body"" rel=""noopener"" target=""_blank"">Learn more &raquo;</a></p>
",https://d1.awsstatic.com/Developer%20Marketing/developer-center/vitn-headshotcircle-100px.cc3ebe0ed2a86f91a0e0217b58810470adcde561.png,2019-02-19T19:51:37+0000,2024-11-06T18:12:28+0000,Trainer / Educator|Asia Pacific|AWS Community Hero|Conference Speaker|2016|Meetup Organizer|Blogger|Technical Author|Open Source Contributor
